snrDb,ber,bler,evmPercent,nmse,capacityBpsHz,verdict
0,0.273934925093633,1,80.1907522070805,0.493376156520626,3.60603356720856,PASS
5,0.14973582129481,1,51.9601210257825,0.1573822346733,6.17963399025083,PASS
10,0.05321696094168,1,31.361718361231,0.0511619877055762,9.19174462044358,PASS
15,0.00928471107544141,1,18.4757376823141,0.0175892691712732,12.4022598167406,PASS
20,0.00103832263242376,0.95,11.073540445409,0.00698224417043119,15.6870556649122,PASS
25,0.000215690208667737,0.575,7.16863412304194,0.00363340726588779,18.9970166337484,PASS
