snrDb,ber,bler,evmPercent,nmse,capacityBpsHz,verdict,nTx,nRx,nLayers
-10,0.337341924896225,1,84.5928407542497,1.38994961753681,6.46370396800252,PASS,64,8,4
-5,0.193682425909837,1,55.2643146610419,0.439540662429623,11.6366992805579,PASS,64,8,4
0,0.0734524326672459,1,33.3012827428933,0.138994961753681,17.7227851286493,PASS,64,8,4
5,0.00874843131576407,1,19.2613407164079,0.0439540662429623,24.1780998660424,PASS,64,8,4
10,9.35177140650642e-05,0.85,10.9341081801549,0.0138994961753681,30.7609918791583,PASS,64,8,4
15,0,0,6.16675549267298,0.00439540662429623,37.3854308045362,PASS,64,8,4
20,0,0,3.47086920698587,0.00138994961753681,44.0231326988113,PASS,64,8,4
