snrDb,ber,bler,evmPercent,nmse,throughputBitsPerFrame,throughputMbps,spectralEffBpsHz,capacityBpsHz,numFrames,evaluatedBits,bitErrors,blockErrors,payloadBits,nTx,nRx,nLayers
0.0,0.27795445425361154,1.0,80.96115835297006,0.4870456530066895,0.0,0.0,0.0,3.5869522818106163,40,598080,166239,40,14952,4,4,2
5.0,0.15278223649010167,1.0,52.817453898806654,0.15928312766157132,0.0,0.0,0.0,6.15727278736342,40,598080,91376,40,14952,4,4,2
10.0,0.055228397538790795,1.0,32.242045190212195,0.05078669484328002,0.0,0.0,0.0,9.121915306010887,40,598080,33031,40,14952,4,4,2
15.0,0.009164325842696629,1.0,18.560751275177235,0.018122697745113953,0.0,0.0,0.0,12.363044730752982,40,598080,5481,40,14952,4,4,2
20.0,0.0011754280363830926,1.0,11.393804232531988,0.00753720809821405,0.0,0.0,0.0,15.599964695099109,40,598080,703,40,14952,4,4,2
25.0,0.0003226993044408775,0.75,7.661077953574562,0.004318345531676863,3738.0,7.476,1.7305555555555556,18.9113858393676,40,598080,193,30,14952,4,4,2
