snrDb,ber,bler,evmPercent,nmse,throughputBitsPerFrame,throughputMbps,spectralEffBpsHz,capacityBpsHz,numFrames,evaluatedBits,bitErrors,blockErrors,payloadBits,nTx,nRx,nLayers
-10,0.3354558837725649,1.0,84.11705715228621,1.3465007316028277,0.0,0.0,0.0,6.4339702974325705,60,1657440,555998,60,27624,64,8,4
-5,0.1936088184187663,1.0,55.324141465924214,0.4305326186276967,0.0,0.0,0.0,11.531941001485134,60,1657440,320895,60,27624,64,8,4
0,0.07172265662708756,1.0,32.91404346155121,0.13331300654077044,0.0,0.0,0.0,17.753794557738907,60,1657440,118876,60,27624,64,8,4
5,0.008447364610483638,1.0,19.150443650202238,0.04259298136302809,0.0,0.0,0.0,24.154339353220063,60,1657440,14001,60,27624,64,8,4
10,4.3440486533449174e-05,0.6666666666666666,10.93736845756256,0.013650606438978361,9208.0,18.416,4.262962962962963,30.62446148528269,60,1657440,72,40,27624,64,8,4
15,0.0,0.0,6.124886541113374,0.004266569624584832,27624.0,55.248,12.78888888888889,37.327713583460465,60,1657440,0,0,27624,64,8,4
20,0.0,0.0,3.4358425862112485,0.001339391725029468,27624.0,55.248,12.78888888888889,44.0237207167195,60,1657440,0,0,27624,64,8,4
